Date/Time,Temp_C,Rel Hum_%,Press_kPa,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std,Anomaly_Score,ML_Anomaly
2012-08-01 16:00:00,27.8,58,100.4,0.5,-1.0,-0.059999999999988,24.51,71.2,100.554,2.52914126840584,11.380294860464216,0.0870759566298023,0.1288160853082997,0
2012-08-01 17:00:00,27.4,60,100.38,-0.4000000000000021,2.0,-0.0200000000000102,25.17,68.4,100.528,2.3046089087348545,10.16748630575786,0.0968159766468602,0.144508670143972,0
2012-08-01 18:00:00,27.0,61,100.39,-0.3999999999999986,1.0,0.0100000000000051,25.75,65.8,100.502,1.886354508922188,7.969385867876253,0.0953123520073621,0.1489422087986929,0
2012-08-01 19:00:00,26.3,65,100.46,-0.6999999999999993,4.0,0.0699999999999931,26.18,64.0,100.484,1.3505554412898644,5.206833117270504,0.0824890565175825,0.13589420935211566,0
2012-08-01 20:00:00,25.7,67,100.48,-0.6000000000000014,2.0,0.0200000000000102,26.34,63.2,100.472,1.1577756451239063,3.735713526964954,0.0717712415373887,0.14450267715946352,0
2012-08-01 21:00:00,23.1,84,100.49,-2.599999999999998,17.0,0.0099999999999909,26.24,64.7,100.461,1.3922004964156105,7.469196000165143,0.0568526360243801,0.07133360890794638,0
2012-08-01 22:00:00,24.2,79,100.52,1.099999999999998,-5.0,0.0300000000000011,26.14,65.9,100.457,1.5064306599810693,8.736259051917866,0.0501220732104868,0.12095632423380376,0
2012-08-01 23:00:00,23.9,78,100.5,-0.3000000000000007,-1.0,-0.019999999999996,25.96,67.4,100.456,1.6641314050672291,9.442221960722534,0.0490351348029021,0.15063953525425694,0
2012-08-02 00:00:00,23.9,78,100.51,0.0,0.0,0.0100000000000051,25.66,68.9,100.459,1.7443241289004792,9.848293704438596,0.0515213008875094,0.14886866266211618,0
2012-08-02 01:00:00,22.6,83,100.48,-1.2999999999999972,5.0,-0.0300000000000011,25.19,71.3,100.46099999999998,1.881163942290943,10.089047967419225,0.0519508314619447,0.1274467094606544,0
2012-08-02 02:00:00,21.8,87,100.49,-0.8000000000000007,4.0,0.0099999999999909,24.59,74.2,100.47,1.9127931874030968,10.008884941779288,0.0478423336554019,0.13613733534228523,0
2012-08-02 03:00:00,22.2,88,100.47,0.3999999999999986,1.0,-0.019999999999996,24.07,77.0,100.479,1.7651251136009227,9.49853789918332,0.0360401011319626,0.13716795378325464,0
2012-08-02 04:00:00,21.5,89,100.51,-0.6999999999999993,1.0,0.0400000000000062,23.52,79.8,100.491,1.599861105081828,8.310635755865343,0.0191195072185088,0.12761389087954372,0
2012-08-02 05:00:00,21.3,90,100.55,-0.1999999999999993,1.0,0.039999999999992,23.02,82.3,100.5,1.403804354838964,7.024560089033793,0.0235702260550462,0.1422352595345513,0
2012-08-02 06:00:00,21.7,88,100.55,0.3999999999999986,-2.0,0.0,22.62,84.4,100.507,1.0901579905879164,4.695151163109383,0.0271006355124845,0.13806042641487204,0
2012-08-02 07:00:00,22.5,86,100.6,0.8000000000000007,-2.0,0.0499999999999971,22.56,84.6,100.518,1.07723926982017,4.718756898450025,0.0391010088058335,0.13983223402885858,0
2012-08-02 08:00:00,23.9,78,100.61,1.3999999999999986,-8.0,0.0100000000000051,22.53,84.5,100.527,1.029616973009558,4.859126579038059,0.0487738545702636,0.1210210287935668,0
2012-08-02 09:00:00,24.5,75,100.63,0.6000000000000014,-3.0,0.019999999999996,22.59,84.2,100.54,1.1308305698803969,5.370702416299689,0.0573488351202698,0.15158851058832096,0
2012-08-02 10:00:00,25.8,68,100.6,1.3000000000000007,-7.0,-0.0300000000000011,22.78,83.2,100.549,1.4808406021199934,7.254117604659071,0.059151406489275,0.12745961731502775,0
2012-08-02 11:00:00,27.3,65,100.56,1.5,-3.0,-0.039999999999992,23.25,81.4,100.557,2.052775898359836,9.264028401415006,0.0539650092467291,0.12582617217215375,0
2012-08-02 12:00:00,27.4,58,100.56,0.0999999999999978,-7.0,0.0,23.81,78.5,100.564,2.354876736570833,11.568635759385534,0.0485798312140253,0.12283468818423682,0
2012-08-02 13:00:00,29.1,51,100.5,1.7000000000000028,-7.0,-0.0600000000000022,24.5,74.8,100.567,2.799603146479109,13.8788408097442,0.0427005074222662,0.07426193161630079,0
2012-08-02 14:00:00,29.6,52,100.44,0.5,1.0,-0.0600000000000022,25.31,71.1,100.56,2.9997962893795984,14.586523460601018,0.0565685425018168,0.09941696402555944,0
2012-08-02 15:00:00,29.8,52,100.43,0.1999999999999993,0.0,-0.0099999999999909,26.16,67.3,100.548,2.9409748950528365,14.055841015985571,0.0700476028671659,0.12076214108395178,0
