Date/Time,Temp_C,Rel Hum_%,Press_kPa,Hour,Day,Month,DayOfWeek,IsWeekend,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std
2012-11-21 22:00:00,0.9,85,101.88,22,21,11,2,0,-1.3000000000000003,3.0,0.0,4.129999999999998,69.8,101.877,2.918922936823319,14.566323413194768,0.016363917009945442
2012-11-21 23:00:00,1.0,88,101.86,23,21,11,2,0,0.09999999999999998,3.0,-0.01999999999999602,3.4899999999999975,72.9,101.874,2.8223118970884022,14.835767590522865,0.016465452111531907
2012-11-22 00:00:00,1.3,94,101.87,0,22,11,3,0,0.30000000000000004,6.0,0.010000000000005116,2.789999999999998,77.3,101.875,2.3201771962987348,13.776388818877681,0.01581138836812115
2012-11-22 01:00:00,1.5,94,101.83,1,22,11,3,0,0.19999999999999996,0.0,-0.04000000000000625,2.119999999999998,81.9,101.87100000000001,1.348085061609952,10.093452222990276,0.021317702656851487
2012-11-22 02:00:00,1.3,90,101.85,2,22,11,3,0,-0.19999999999999996,-4.0,0.01999999999999602,1.699999999999998,84.8,101.86999999999999,0.6531972647442179,7.161626134398443,0.02211083198364227
2012-11-22 03:00:00,1.1,86,101.86,3,22,11,3,0,-0.19999999999999996,-4.0,0.010000000000005116,1.5299999999999978,86.3,101.871,0.5478239782209315,5.2715167541134615,0.021317702656851487
2012-11-22 04:00:00,-0.9,90,101.84,4,22,11,3,0,-2.0,4.0,-0.01999999999999602,1.229999999999998,87.3,101.866,0.9055998625849442,4.877385456256152,0.022211108379527528
2012-11-22 05:00:00,-1.4,87,101.85,5,22,11,3,0,-0.4999999999999999,-3.0,0.009999999999990905,0.8399999999999979,88.1,101.862,1.1137524161353292,3.9285281382909245,0.020976177013641715
2012-11-22 06:00:00,-0.30000000000000004,84,101.84,6,22,11,3,0,1.0999999999999999,-3.0,-0.009999999999990905,0.6699999999999979,88.0,101.856,1.1479934184879994,4.027681991199458,0.0171269768328141
2012-11-22 07:00:00,0.8,78,101.85,7,22,11,3,0,1.1,-6.0,0.009999999999990905,0.5299999999999979,87.6,101.853,1.0187683195367787,4.812021982032678,0.01494434125102886
2012-11-22 08:00:00,1.7000000000000002,77,101.87,8,22,11,3,0,0.9000000000000001,-1.0,0.020000000000010232,0.6099999999999979,86.8,101.852,1.080586260633344,5.846176338239191,0.013165611851551259
2012-11-22 09:00:00,3.3,74,101.81,9,22,11,3,0,1.5999999999999996,-3.0,-0.060000000000002274,0.8399999999999979,85.4,101.84700000000001,1.3769531582457113,7.07420981060459,0.01828782235612749
2012-11-22 10:00:00,6.4,58,101.8,10,22,11,3,0,3.1000000000000005,-16.0,-0.010000000000005116,1.3499999999999979,81.8,101.84,2.2401636844963067,10.528268824666931,0.021602469042704183
2012-11-22 11:00:00,8.4,52,101.72,11,22,11,3,0,2.0,-6.0,-0.0799999999999983,2.0399999999999983,77.6,101.829,3.1637530455672302,13.167299562848346,0.0438304815530091
2012-11-22 12:00:00,10.8,42,101.6,12,22,11,3,0,2.4000000000000004,-10.0,-0.12000000000000455,2.989999999999998,72.8,101.804,4.17996544377026,16.477594214906457,0.0836925590865991
2012-11-22 13:00:00,11.6,35,101.52,13,22,11,3,0,0.7999999999999989,-7.0,-0.0799999999999983,4.039999999999998,67.7,101.77000000000001,4.907862173198559,19.545104530575372,0.1197218999820006
2012-11-22 14:00:00,12.1,36,101.45,14,22,11,3,0,0.5,1.0,-0.06999999999999318,5.339999999999998,62.3,101.731,5.1687522672306425,20.14971739531642,0.15322097333123916
2012-11-22 15:00:00,10.7,44,101.39,15,22,11,3,0,-1.4000000000000004,8.0,-0.060000000000002274,6.549999999999997,58.0,101.68499999999999,4.820154446580581,18.83849486792653,0.1802005056154302
2012-11-22 16:00:00,9.2,54,101.37,16,22,11,3,0,-1.5,10.0,-0.01999999999999602,7.499999999999997,55.0,101.638,4.218741255135144,16.47894279241118,0.19589112622856328
2012-11-22 17:00:00,7.1,61,101.35,17,22,11,3,0,-2.0999999999999996,7.0,-0.020000000000010232,8.129999999999999,53.3,101.588,3.519485442188832,14.613920304513472,0.19954392443635882
2012-11-22 18:00:00,6.9,64,101.34,18,22,11,3,0,-0.1999999999999993,3.0,-0.009999999999990905,8.649999999999997,52.0,101.535,2.7677708639908745,12.727922061358022,0.18626444761695304
2012-11-22 19:00:00,6.3,67,101.3,19,22,11,3,0,-0.6000000000000005,3.0,-0.04000000000000625,8.949999999999998,51.3,101.484,2.234701073721061,11.518584017915652,0.17186558055440873
2012-11-22 20:00:00,5.9,68,101.28,20,22,11,3,0,-0.39999999999999947,1.0,-0.01999999999999602,8.899999999999997,52.3,101.43199999999999,2.3026554718896635,12.552556180582142,0.14164117418204628
2012-11-22 21:00:00,5.6,71,101.24,21,22,11,3,0,-0.3000000000000007,3.0,-0.04000000000000625,8.619999999999997,54.2,101.38399999999999,2.52929502694616,13.870832707519927,0.11127543405260086
2012-11-22 22:00:00,3.4,73,101.16,22,22,11,3,0,-2.1999999999999997,2.0,-0.0799999999999983,7.879999999999998,57.3,101.34,2.878965863716664,14.298795598076108,0.10306416556460063
2012-11-22 23:00:00,4.4,66,101.11,23,22,11,3,0,1.0000000000000004,-7.0,-0.04999999999999716,7.159999999999998,60.4,101.299,2.742342875069779,12.121606054204987,0.10503438590987256
2012-11-23 00:00:00,4.5,65,101.06,0,23,11,4,0,0.09999999999999964,-1.0,-0.04999999999999716,6.399999999999998,63.3,101.26,2.22560853101686,8.59004591890492,0.11469767023238057
2012-11-23 01:00:00,2.7,77,100.96,1,23,11,4,0,-1.7999999999999998,12.0,-0.10000000000000853,5.599999999999998,66.6,101.21700000000001,1.9258475767543872,6.415259585984212,0.13864823595865533
2012-11-23 02:00:00,2.6,75,100.96,2,23,11,4,0,-0.10000000000000009,-2.0,0.0,4.939999999999999,68.7,101.176,1.668798636412099,5.143496432929908,0.14863826335901364
2012-11-23 03:00:00,2.8,70,100.9,3,23,11,4,0,0.19999999999999973,-5.0,-0.05999999999998806,4.509999999999998,69.6,101.131,1.6030872992107974,4.376706016579462,0.15793458561795165
2012-11-23 04:00:00,1.2,76,100.79,4,23,11,4,0,-1.5999999999999999,6.0,-0.10999999999999943,3.9399999999999986,70.8,101.076,1.6707948873388832,4.315347288716145,0.17218852717235153
2012-11-23 05:00:00,2.5,70,100.69,5,23,11,4,0,1.3,-6.0,-0.10000000000000853,3.559999999999998,71.1,101.015,1.4975535605342936,4.121757985240826,0.19103519164081928
2012-11-23 06:00:00,3.7,66,100.61,6,23,11,4,0,1.2000000000000002,-4.0,-0.0799999999999983,3.3399999999999976,70.9,100.948,1.2580408048505365,4.3320510923434705,0.20476544847601869
2012-11-23 07:00:00,4.1,67,100.54,7,23,11,4,0,0.39999999999999947,1.0,-0.06999999999999318,3.189999999999998,70.5,100.87800000000001,1.026807349669685,4.503085362036266,0.21332291641371692
2012-11-23 08:00:00,4.3,68,100.47,8,23,11,4,0,0.20000000000000018,1.0,-0.07000000000000739,3.2799999999999976,70.0,100.809,1.0850499220476746,4.472135955000409,0.22333084575836665
2012-11-23 09:00:00,6.2,59,100.34,9,23,11,4,0,1.9000000000000004,-9.0,-0.12999999999999545,3.459999999999998,69.3,100.732,1.3961852790140812,5.578729445154111,0.24012959464127445
2012-11-23 10:00:00,8.2,57,100.25,10,23,11,4,0,1.9999999999999991,-2.0,-0.09000000000000341,3.8299999999999983,68.5,100.651,2.0429009874310267,6.720615051219181,0.2534407666940277
2012-11-23 11:00:00,10.4,50,100.11,11,23,11,4,0,2.200000000000001,-7.0,-0.14000000000000057,4.599999999999998,65.8,100.566,2.8581268146971635,8.189424074174768,0.27949160194120126
2012-11-23 12:00:00,12.1,48,99.93,12,23,11,4,0,1.6999999999999993,-2.0,-0.1799999999999926,5.549999999999999,63.1,100.46300000000001,3.6016200058679892,9.206881484339458,0.30663224444483766
2012-11-23 13:00:00,10.9,51,99.8,13,23,11,4,0,-1.1999999999999993,3.0,-0.13000000000000966,6.359999999999998,61.2,100.353,3.8187257909764054,9.577751997903219,0.32893937300190657
2012-11-23 14:00:00,10.4,54,99.71,14,23,11,4,0,-0.5,3.0,-0.09000000000000341,7.2799999999999985,59.0,100.245,3.535156762200914,8.23272602348597,0.34635402568863216
2012-11-23 15:00:00,10.4,58,99.79,15,23,11,4,0,0.0,4.0,0.0800000000000125,8.069999999999999,57.8,100.155,3.2166407598268,7.269418439218475,0.3346059041777114
2012-11-23 16:00:00,9.2,83,99.83,16,23,11,4,0,-1.200000000000001,25.0,0.03999999999999204,8.619999999999997,59.5,100.077,2.8338430913986596,10.617072205755578,0.30648726636485085
2012-11-23 17:00:00,8.8,87,99.78,17,23,11,4,0,-0.3999999999999986,4.0,-0.04999999999999716,9.09,61.5,100.001,2.349207904332634,13.64021831040696,0.27110678502783087
2012-11-23 18:00:00,8.6,90,99.73,18,23,11,4,0,-0.20000000000000107,3.0,-0.04999999999999716,9.519999999999998,63.7,99.927,1.6705288583762101,16.31665815457747,0.2261292648985715
2012-11-23 19:00:00,8.7,87,99.7,19,23,11,4,0,0.09999999999999964,-3.0,-0.030000000000001137,9.77,66.5,99.863,1.2534840334935375,17.75919167329683,0.18263807561867199
2012-11-23 20:00:00,10.0,73,99.71,20,23,11,4,0,1.3000000000000007,-14.0,0.009999999999990905,9.95,68.1,99.809,1.1257096527183152,17.52743880637208,0.12679379584825218
2012-11-23 21:00:00,9.3,70,99.72,21,23,11,4,0,-0.6999999999999993,-3.0,0.010000000000005116,9.839999999999998,70.1,99.77000000000001,1.1305849027044421,16.332993193737448,0.0721110255015201
2012-11-23 22:00:00,8.6,68,99.7,22,23,11,4,0,-0.7000000000000011,-2.0,-0.01999999999999602,9.489999999999998,72.1,99.74699999999999,0.8633912464494348,14.441067981435857,0.048085571859624775
2012-11-23 23:00:00,7.9,64,99.65,23,23,11,4,0,-0.6999999999999993,-4.0,-0.04999999999999716,9.189999999999998,73.4,99.732,0.8399074023043086,12.825322174857698,0.05287301347925284
2012-11-24 00:00:00,7.5,61,99.59,0,24,11,5,1,-0.40000000000000036,-3.0,-0.060000000000002274,8.899999999999999,74.1,99.72,0.875595035771592,11.798775831039377,0.0694422221780464
2012-11-24 01:00:00,5.3,81,99.6,1,24,11,5,1,-2.2,20.0,0.009999999999990905,8.389999999999997,76.4,99.701,1.2913816889936007,10.479609831583923,0.07400450435912678
2012-11-24 02:00:00,5.1,81,99.61,2,24,11,5,1,-0.20000000000000018,0.0,0.010000000000005116,7.979999999999999,76.2,99.679,1.6157557571205041,10.358034991681437,0.06332456078599362
2012-11-24 03:00:00,4.6,69,99.59,3,24,11,5,1,-0.5,-12.0,-0.01999999999999602,7.559999999999998,74.4,99.66,1.8998245533034912,9.822875795249413,0.05792715731213219
2012-11-24 04:00:00,4.1,63,99.56,4,24,11,5,1,-0.5,-6.0,-0.030000000000001137,7.109999999999998,71.7,99.643,2.1434396033793224,8.705681414392343,0.06000925853393761
